Product code;Description
3BA57030AA;SPB/ECX CONNECTING BOX
3BA57117AZ;MODEM ASYNC.:POLAND
3BA57172AZ;MODEM SYNC.:POLAND
3BA57413AA;MODEM ISDN
3BA53131AA;DTM CARD
3BA53148AA;DECT4HB BOARD WITH 4DMOD CARD
3BA63004AA;DECT4 BOARD WITH 4DMOD CARD
3BA00265AA;DECT4HB CONFIGURED BOARD
3BA00344AA;DECT8 CONFIGURED BOARD
3BA53173AA;DECT8 BOARD
3AC43034AA;AEMD CARD EXT.8 SPEECH CHAN.
4501731;4070IA RBS REMOTE FEEDING IN
3BQ28005AB;4070IA-EX RBS ANTI-EXPLO. IN
4508570;4070EA RBS REMOTE FEEDING OUT
3AC36067AB;4070IO IBS REMOTE FEEDING IN
3AC36081AA;4070EO IBS REMOTE FEEDING OUT
4660155;4074GB UA+GAP(ITU)
3BQ28008UB;4074GB EX(ITU) ANTI-EXPLO.
4539949;4074GI(ITU) WITH VIBRATOR
3BN00001YY;MOBILE 100 SET EU
3BN00002YY;MOBILE 200 SET EU
3BN00003YY;MOBILE 200EX SET EU
3576365;4071BA DECT BASIC PARKING UNIT
4507573;4074GB BELT CLIP (X5)
4507580;4074GI BELT CLIP (X5)
4535842;4074 STANDARD BATTERY HOLDER
3BD52110AA;4074GB POUCH INTEGRAL CLIP
3BD52229AA;4074GI DUST-PROOF POUCH+SHOULD
3BD52230AA;4074GI POUCH W/. INTEGRAL CLIP
3BD52231AA;4074GB BASIC POUCH
3BD52232AA;4074GB DUST-PROOF POUCH+SHOULD
3BD52276AA;MOBILE 100/200 HEADSET BINAUR.
3BD52277AA;MOBILE 100/200 HEADSET EXPRESS
3BD52278AA;MOBILE 100/200 POUCH CITY
3BD52280AA;MOBILE 100/200 ANTI-NOISE HEAD
3BN67136AA;MOBILE 100/200 POOL/WALLM.(X5)
3CQ11005AH;4074 TEST HANDSET
3576389;4071DA DECT DUAL PARKING UNIT
3576419;4074 NIMH BATTERY 1200 MAH
3BD52146AA;4074GB EX BATTERY NIC-CD
3954170;4074 VIBRATOR
4502080;4074 POOL CHARGER KIT
4502110;4074 CHARGER WALL MOUNTING KIT
4540006;4071BC BASIC HANDSFREE CHARGER
3BD52279AA;MOBILE 100/200 POUCH INDUS.
3BN67135AA;MOBILE 100/200 BELT CLIP (X5)
3BN67137AA;MOBILE 200 LI-ION BATTERY
3BN67138AA;MOBILE 100 NIMH BATTERY
3BN67113AB;MOBILE 100/200 VOICE CHARG EU
3BN67115AB;MOBILE 100/200 DUAL CHARG EU
3BN67116AB;MOBILE 100/200 BASIC CHARG EU
3BN67126AB;MOBILE 100/200 CORDED CHARG EU
3BA27561AA;4755 F&A HPOV I/F BAS
3BA57422AA;HPOV 4400 F&A I/F BAS
3BH11397AA;4961 TAPI M/W GRAPHITE 4035
3BA57099AB;4058 SBC BAS FR
3BA57111AA;4812 BLF BAS FR
3BA57100AB;4058 SBC BAS EN
3BA57112AA;4812 BLF BAS EN
3BA57102AB;4058 SBC BAS SP
3BA57170AA;4812 BLF BAS GE
3BA57171AA;4812 BLF BAS
3BH11473AA;NOTIFICATION SERVER CD-ROM
3BA57101AB;4058 SBC BAS GE/AT
3BA20034AA;4735 ACD TRAFFIC OBSER CD-ROM
3BA20047AA;4736 ACD SUPERVISION CD-ROM
3BA24018AA;CCSUPERVISION CD-ROM
3BH11503AA;CCWEB CD-ROM
3BH11505AA;TAPI PREMIUM SERVER CD-ROM
3BH11394AA;4740 PERFORM BAS UPDATE 4.4
3BH11428AA;4740 PACKAGE BAS 4.4
3BH11429AA;4740 PERFORM BAS 4.4
3BH11433AA;4740 PACKAGE BAS UPDATE 4.4
3BH11425AA;4715 ACCOUNTING BAS 4.4
3BH11431AA;4715 ACCOUNTING BAS UPDATE 4.4
3BH11441AA;4715 CAPACITY MODU 3000 EXT
3BH11442AA;4715 UPGRADE 2000-3000 EXT
3BH11470AA;4635 VISUAL MESSENGER CD-ROM
3BH11131AA;4715/40 UPGRADE 500-1000 EXT
3BH11127AA;4715/40 UPGRADE 128-500 EXT
3BH11413AA;TSAPI CD-ROM
3BH11419AA;CCWALLBOARD CD-ROM
3BH11421AA;WALLBOARD 1X12 CHAR B&W
3BH11422AA;WALLBOARD 2X16 CHAR COLOR
3BH11133AA;4715/40 UPGRADE 1500-2000 EXT
3BH11359AA;4715/40 UPGRADE 64-128 EXT
3BH11132AA;4715/40 UPGRADE 1000-1500 EXT
3BH11358AA;4715/40 UPGRADE 32-64 EXT
3BH11434AA;4715/40 CAPACITY MODU 32 EXT
3BH11435AA;4715/40 CAPACITY MODU 64 EXT
3BH11436AA;4715/40 CAPACITY MODU 128 EXT
3BH11437AA;4715/40 CAPACITY MODU 500 EXT
3BH11438AA;4715/40 CAPACITY MODU 1000 EXT
3BH11439AA;4715/40 CAPACITY MODU 1500 EXT
3BH11440AA;4715/40 CAPACITY MODU 2000 EXT
3BH11532AA;CCAGENT R3.2 CD-ROM
3BH11426AA;4730 CONFIG BAS 4.4
3BH11427AA;4730I CONFIG BAS 4.4
3BH11432AA;4730 CONFIG BAS UPDATE 4.4
3BH11478AA;DATCOL CD-ROM (X10)
3BH11514AA;4980 R2 CD-ROM
3BH11564AA;4980 CD-ROM
3BA57345AA;4760 LICENSE FILE DISKETTE
3BH11539AA;4760 R1.0 CD-ROM
3BH11489AA;CCSUPERVISION SERVER CD-ROM
3BH11508AA;CCWIZARD CD-ROM
3BH11523AA;4615 MMC CD-ROM
3BA57023AA;PCMCIA 10B-T CARD
3BA57288AA;BACKUP PSU SERVER PACK 3
3BA57297AA;SDRAM 64MB PC PACK 4
3BH11218AA;DOS 6.2 FR
3BH11220AA;DOS 6.2 EN
3BA21129AA;LOUDSPEAKER
3BH11408AA;STREAMER CARTRIDGE
3BA27516AA;4755 STANDARD STATION
3BA27517AA;4000 DIRECTORY STATION
3BA27518AA;4755 HIGH-END STATION
3BA27519AA;4755 UNIT DISK SPACE
3BA27520AA;4755 UNIT RAM SPACE
3BA27521AA;4755 HIGH SPEED CONNECTION
3BA27523AA;4755 X25 LICENSE
3BA27524AA;4755 SOLARIS EXTENSION LICENSE
3BA27526AA;4755 V24 EXTENSION BOARD
3BA27569AA;4755 OPEN INGRES LICENSE
3BA00285EN;SERVER PACK 3 WIN-NT4 SERVR EN
3BA00285FR;SERVER PACK 3 WIN-NT4 SERVR FR
3BA00285GE;SERVER PACK 3 WIN-NT4 SERVR GE
3BA00285SP;SERVER PACK 3 WIN-NT4 SERVR SP
3BA57221EN;KEYBOARD SERVER PACK 1/3 EN
3BA57221FR;KEYBOARD SERVER PACK 1/3 FR
3BA57221GE;KEYBOARD SERVER PACK 1/3 GE
3BA57221SP;KEYBOARD SERVER PACK 1/3 SP
3BA57293EN;KEYBOARD PC PACK 4 EN
3BA57293FR;KEYBOARD PC PACK 4 FR
3BA57293GE;KEYBOARD PC PACK 4 GE
3BA57293SP;KEYBOARD PC PACK 4 SP
3BA57222AA;15'' MONITOR SERVER PACK 1/3
3BA57223AA;17'' MONITOR SERVER PACK 1/3
3BA57294AA;15'' MONITOR PC PACK 4
3BA57295AA;17'' MONITOR PC PACK 4
3BA57296AA;19'' MONITOR PC PACK 4
3BA57304AA;19'' MONITOR SERVER PACK 1/3
3BA57315AA;21'' MONITOR PC PACK 4
3BA57349AA;VIDEO CARD 8MB SERVER PACK 1
3BA57408AA;4755 INGRES 2 LICENSE
3BA57409AA;4755 INGRES 2 LICENSE UPGRADE
3BA58146AA;CABLE H100 VOICE BOARD BUS
3BA00381EN;PC PACK 4 WIN-2000 PRO EN
3BA00381FR;PC PACK 4 WIN-2000 PRO FR
3BA00381GE;PC PACK 4 WIN-2000 PRO GE
3BA00381SP;PC PACK 4 WIN-2000 PRO SP
3BA00382EN;SERVER PACK 1 WIN-2000 PRO EN
3BA00382FR;SERVER PACK 1 WIN-2000 PRO FR
3BA00382GE;SERVER PACK 1 WIN-2000 PRO GE
3BA00382SP;SERVER PACK 1 WIN-2000 PRO SP
3BA00383EN;SERVER PACK 1 WIN-2000 SERV EN
3BA00383FR;SERVER PACK 1 WIN-2000 SERV FR
3BA00383GE;SERVER PACK 1 WIN-2000 SERV GE
3BA00383SP;SERVER PACK 1 WIN-2000 SERV SP
3BA00384EN;SERVER PACK 3 WIN-2000 SERV EN
3BA00384FR;SERVER PACK 3 WIN-2000 SERV FR
3BA00384GE;SERVER PACK 3 WIN-2000 SERV GE
3BA00384SP;SERVER PACK 3 WIN-2000 SERV SP
3BA57263AA;ANALOG VOICE BOARD 4 PORTS
3BA57264AA;ANALOG VOICE BOARD 8 PORTS
3BA57265AA;DIGITAL VOICE BOARD 30 PORTS
3BA00269EN;PC PACK 4 WIN-NT4 W/S EN
3BA00269FR;PC PACK 4 WIN-NT4 W/S FR
3BA00269GE;PC PACK 4 WIN-NT4 W/S GE
3BA00269SP;PC PACK 4 WIN-NT4 W/S SP
3BA57266AA;DIGITAL VOICE BOARD 60 PORTS
3BA57425AA;UM DIGITAL VOICE BOARD 30 PORT
3BA27556AA;4755 STATION FOR SPEC. PROJECT
3BA57190AA;PROTECTION MODULE 1 PCM
3BA57191AA;SUPPORT FOR 2 PCM PROTECTION
3BA57192AA;SUPRA HEADSET MONAURAL
3BA57193AA;SUPRA HEADSET BINAURAL
3BA57194AA;HEADSET MONAURAL DIRECT. MICRO
3BA57195AA;HEADSET BINAURAL DIRECT. MICRO
3BA57196AA;4048 HEADSET MONAURAL DIRECT
3BA57197AA;4048 HEADSET BINAURAL DIRECT
3BA57209AA;HEADSET ADAPTOR
3BA57302AA;HEADSET MONAU.(DUOSET)+ BYWAY
3BA57346AA;STEREO HEADSET
3BA57207AA;MUSIC ON HOLD PACK
3BA27527AA;STANDARD LASER PRINTER 10 PPM
3BA27528AA;HIGH-END LASER PRINTER 30 PPM
3BA27529AA;HIGH-END INKJET COLOR PRINTER
3BA57126AA;STANDARD INKJET COLOR PRINTER
3BA57208AA;MATRIX PRINTER
3BA00268EN;PC PACK 4 WIN-95 EN
3BA00268FR;PC PACK 4 WIN-95 FR
3BA00268GE;PC PACK 4 WIN-95 GE
3BA00268SP;PC PACK 4 WIN-95 SP
3BA00270EN;SERVER PACK 1 WIN-NT4 W/S EN
3BA00270FR;SERVER PACK 1 WIN-NT4 W/S FR
3BA00270GE;SERVER PACK 1 WIN-NT4 W/S GE
3BA00270SP;SERVER PACK 1 WIN-NT4 W/S SP
3BA00283EN;SERVER PACK 1 WIN-NT4 SERVR EN
3BA00283FR;SERVER PACK 1 WIN-NT4 SERVR FR
3BA00283GE;SERVER PACK 1 WIN-NT4 SERVR GE
3BA00283SP;SERVER PACK 1 WIN-NT4 SERVR SP
3BA27530AA;4755 X-TERMINAL 17'' MONITOR
3BA27531AA;4755 X-TERMINAL 21'' MONITOR
3BA27534AA;4755 ROUTER S0/IP,
3BA27535AA;4755 UPS 230V,
3BA27549AA;4755 DISK MIRRORING,
3BA57220AA;PC PLATFORM 4,
3BA00231AC;AUDIO STATION PC4 WIN-95 FR,
3BA00232AC;AUDIO STATION PC4 WIN-95 EN,
3BH11281AB;HARD DISK 20GB PC PACK 4,
3BH11461AA;HD EXT 9,1GB PC MIGRATION KIT
3BA27562AA;4755 WIND/U LICENSE FOR 4200,
3BA57272AA;4755 X-TERMINAL EMULATION S/W,
3BA57249AA;HARD DISK 9,1GB SERVER PACK 1
3BA57251AA;HARD DISK 9,1GB SERVER PACK 3
3BA57252AA;SDRAM 128 MB SERVER PACK 1,
3BA57253AA;SDRAM 128MB SERVER PACK 1/3,
3BA57259AA;BACKUP CPU SERVER PACK 3,
3BA57260AA;BACKUP DRIVE SERVER PACK 1/3,
3BA57261AA;DAT TAPE SERVER PACK 1/3
3BA57262AA;UPS 1000 VA FOR 6 SERVERS
3BA57268AA;UPS 2400 VA FOR 9 SERVERS
3BA57269AA;SDRAM 256MB SERVER PACK 1/3
3BA57305AA;EXCHANGE FR
3BA57306AA;EXCHANGE EN
3BA57307AA;EXCHANGE GE
3BA57286AA;PC SWITCH BOX 1/4
3BA57323AA;IP HANDSET COMFORT KIT
3BA57287AA;PC SWITCH BOX 1/8
3BR02711AA;ETHERNET SWITCH 8 PORTS
3BR02712AA;ETHERNET SWITCH 24 PORTS
3BH11480AA;PACK OFFICE 2000 FR
3BH11481AA;PACK OFFICE 2000 EN
3BH11482AA;PACK OFFICE 2000 DE
3BH11483AA;PACK OFFICE 2000 SP
3BA57316AA;SDRAM 128MB PC PACK 4
3BA57334AA;SDRAM 256MB PC PACK 4
3BR05669RA;RSM LICENCE
3BA57270AA;V24 BOARD PCI 8 PORTS
3BH11406AA;EXTERNAL BACKUP STREAMER KIT
3BA27040AA;VOICE GUIDES MASTER CD-ROM
3BA20032AD;CPU5-2/CPU5-3 BIOS
3BA20045AA;IO2 BOOT
3BA23155AA;VPSTE CARD
3BA24000AA;INT2/INTOF/RT2 BOOT
3BA24003AA;RMA FIRMWARE
3BA24009AA;16 BITS BOOT
3BA24048AA;FLASH BOOT SPA3
3BA24051AA;FLASH BIOS VPS35
3BA24071AA;FLASH BIOS VPM35
3BA24095AA;CPU6 BIOS
3BA50088AA;EPROM FLASH BOOT IO1+CPL
3BA50101AA;EPROM FLASH BOOT SPB
3BA50183AA;EPROM BOOT AMD 8 BITS
3BA50184AA;EPROM BOOT AMD 16 BITS
3BA53010AC;PRG FLASH BOOT TOOL
3BA53109AA;CPU ACCESS CARD
3BA54011AJ;CPU3-2/CPU3-3 BIOS
4681464;A4200D CAB.8UA-4Z ISDN XD
4681662;A4200D CAB.4UA-8Z ISDN XC
4681471;A4200D CAB.8UA-8Z ISDN XD
